 534 DT	the
 242 IN	of
 213 TO	to
 211 DT	a
 172 CC	and
 171 IN	in
  79 IN	for
  64 IN	that
  64 AUX	is
  62 POS	's
  55 IN	on
  53 NNP	mr.
  50 PRP	it
  46 IN	as
  46 CC	or
  45 IN	with
  44 MD	will
  44 IN	by
  42 PRP	he
  41 AUX	be
  38 VBD	said
  38 AUX	has
  37 IN	from
  35 PRP	its
  35 DT	an
  33 AUX	have
  31 IN	at
  30 PRP	his
  29 AUX	are
  28 AUX	was
  26 WP	who
  26 CC	but
  25 NN	%
  25 CD	million
  24 RB	not
  22 WDT	which
  22 MD	would
  21 PRP	they
  21 NNS	years
  21 NN	company
  21 JJ	other
  21 AUX	were
  21 AUX	been
  20 IN	if
  20 AUX	had
  19 NN	year
  19 DT	this
  19 DT	some
  18 RB	n't
  17 WDT	that
  17 PRP	we
  17 PRP	their
  17 NN	government
  16 WRB	when
  16 RB	about
  16 NNS	shares
  16 JJR	more
  16 CD	billion
  15 RP	up
  15 NNP	piazzolla
  15 DT	that
  15 CD	one
  14 VBZ	says
  14 NN	share
  13 VBD	exclaimed
  13 NN	stock
  13 JJ	new
  13 IN	than
  13 IN	about
  13 DT	all
  12 RB	also
  12 NNS	people
  12 NNP	u.s.
  12 NNP	conagra
  12 NN	president
  12 NN	market
  12 NN	bank
  12 MD	might
  12 EX	there
  11 VB	make
  11 PRP	i
  11 NNS	women
  11 NNP	usair
  11 NN	group
  11 NN	administration
  11 IN	because
  10 RP	out
  10 RB	so
  10 RB	as
  10 NNP	new
  10 NNP	hodel
  10 NN	sale
  10 NN	music
  10 NN	gain
   9 WP	what
   9 VBD	remarked
   9 PRP	them
   9 NNS	cents
   9 NNP	york
   9 NNP	tango
   9 NNP	inc.
   9 MD	could
   9 JJ	last
   9 JJ	fiscal
   9 JJ	few
   9 JJ	common
   9 DT	these
   9 CD	1
   9 AUX	do
   8 NNS	stocks
   8 NNS	sports
   8 NNS	rights
   8 NNP	calmat
   8 NN	yesterday
   8 NN	proposal
   8 NN	power
   8 NN	official
   8 NN	housing
   8 NN	football
   8 NN	bill
   8 NN	acquisition
   8 MD	can
   8 JJ	such
   8 JJ	many
   8 DT	each
   8 CD	two
   8 AUX	's
   7 VB	take
   7 RB	even
   7 PRP	she
   7 NNS	plants
   7 NNS	games
   7 NNS	employees
   7 NNS	books
   7 NNP	sierra
   7 NNP	senate
   7 NNP	reagan
   7 NNP	piedmont
   7 NNP	national
   7 NNP	ms.
   7 NNP	exchange
   7 NNP	department
   7 NNP	club
   7 NNP	barrett
   7 NNP	armour
   7 NN	time
   7 NN	strike
   7 NN	program
   7 NN	profit
   7 NN	organization
   7 NN	operating
   7 NN	firm
   7 NN	banking
   7 NN	air
   7 NN	acid
   7 MD	should
   7 MD	may
   7 JJ	strong
   7 JJ	industrial
   7 IN	like
   7 IN	into
   7 IN	against
   7 IN	after
   7 CD	10
   6 VBZ	expects
   6 RBS	most
   6 RBR	more
   6 RB	only
   6 PRP	him
   6 NNS	weeks
   6 NNS	dollars
   6 NNS	bets
   6 NNP	vegas
   6 NNP	playwrights
   6 NNP	oct.
   6 NNP	las
   6 NNP	house
   6 NNP	corp.
   6 NNP	co.
   6 NNP	canada
   6 NNP	brown
   6 NN	woman
   6 NN	trading
   6 NN	something
   6 NN	rain
   6 NN	project
   6 NN	measure
   6 NN	management
   6 NN	interest
   6 NN	conference
   6 NN	average
   6 JJS	most
   6 JJ	several
   6 JJ	former
   6 JJ	female
   6 JJ	federal
   6 JJ	chief
   6 IN	without
   6 IN	under
   6 IN	during
   6 IN	before
   6 DT	those
   6 DT	no
   6 DT	any
   6 CD	5
   6 CD	1986
   5 WRB	where
   5 VBP	say
   5 VBN	made
   5 VBN	increased
   5 VBD	agreed
   5 VB	keep
   5 VB	buy
   5 RP	off
   5 RB	very
   5 RB	up
   5 RB	now
   5 RB	nearly
   5 RB	already
   5 POS	'
   5 NNS	vouchers
   5 NNS	points
   5 NNS	officials
   5 NNS	members
   5 NNS	lines
   5 NNS	lakes
   5 NNS	jobs
   5 NNS	guidelines
   5 NNS	analysts
   5 NNPS	securities
   5 NNP	prechter
   5 NNP	development
   5 NNP	commission
   5 NNP	american
   5 NN	work
   5 NN	way
   5 NN	report
   5 NN	record
   5 NN	price
   5 NN	play
   5 NN	plan
   5 NN	part
   5 NN	nlrb
   5 NN	loss
   5 NN	law
   5 NN	funding
   5 NN	fish
   5 NN	country
   5 NN	concern
   5 NN	chairman
   5 NN	board
   5 JJ	recent
   5 JJ	pro
   5 JJ	personal
   5 JJ	past
   5 JJ	major
   5 JJ	good
   5 JJ	further
   5 JJ	first
   5 JJ	financial
   5 JJ	corporate
   5 JJ	classical
   5 JJ	canadian
   5 JJ	argentine
   5 IN	between
   5 CD	30
   5 CD	1987
   5 AUX	does
   4 VBP	use
   4 VBP	make
   4 VBN	reached
   4 VBN	hired
   4 VBN	come
   4 VBG	seeking
   4 VBG	including
   4 VBD	predicted
   4 VBD	played
   4 VBD	closed
   4 VB	report
   4 VB	reduce
   4 VB	get
   4 RB	still
   4 RB	often
   4 RB	just
   4 RB	far
   4 PRP	itself
   4 NNS	sentences
   4 NNS	rates
   4 NNS	prices
   4 NNS	plays
   4 NNS	gains
   4 NNS	funds
   4 NNS	environmentalists
   4 NNS	days
   4 NNP	wilson
   4 NNP	wheeler
   4 NNP	susan
   4 NNP	stock
   4 NNP	smith
   4 NNP	prize
   4 NNP	poland
   4 NNP	norman
   4 NNP	mulholland
   4 NNP	ltd.
   4 NNP	industrial
   4 NNP	foster
   4 NNP	congress
   4 NNP	coca-cola
   4 NNP	board
   4 NNP	blackburn
   4 NNP	america
   4 NN	value
   4 NN	unit
   4 NN	takeover
   4 NN	study
   4 NN	officer
   4 NN	number
   4 NN	nation
   4 NN	lake
   4 NN	instrument
   4 NN	increase
   4 NN	head
   4 NN	half
   4 NN	difference
   4 NN	day
   4 NN	confusion
   4 NN	college
   4 NN	case
   4 NN	cancer
   4 NN	approval
   4 NN	appointment
   4 JJR	less
   4 JJ	own
   4 JJ	old
   4 JJ	next
   4 JJ	high
   4 JJ	final
   4 JJ	executive
   4 IN	whether
   4 IN	though
   4 IN	since
   4 IN	over
   4 IN	around
   4 IN	among
   4 DT	both
   4 DT	another
   4 CD	three
   4 AUXG	being
   4 AUX	're
   3 WRB	how
   3 WP	whose
   3 VBN	used
   3 VBN	proposed
   3 VBN	passed
   3 VBN	named
   3 VBN	given
   3 VBN	expected
   3 VBN	established
   3 VBN	compared
   3 VBN	based
   3 VBG	trying
   3 VBG	selling
   3 VBG	giving
   3 VBG	getting
   3 VBG	following
   3 VBG	betting
   3 VBD	went
   3 VBD	voted
   3 VBD	reported
   3 VBD	got
   3 VBD	filed
   3 VBD	brought
   3 VBD	asked
   3 VB	sell
   3 VB	result
   3 VB	provide
   3 VB	propose
   3 VB	play
   3 VB	pass
   3 VB	hire
   3 VB	handle
   3 VB	give
   3 VB	avoid
   3 RP	down
   3 RB	well
   3 RB	too
   3 RB	together
   3 RB	sometimes
   3 RB	probably
   3 RB	nevertheless
   3 RB	never
   3 RB	long
   3 RB	later
   3 RB	however
   3 RB	almost
   3 PRP	you
   3 PRP	me
   3 PRP	her
   3 NNS	workers
   3 NNS	traders
   3 NNS	thousands
   3 NNS	theaters
   3 NNS	tangos
   3 NNS	operations
   3 NNS	odds
   3 NNS	levels
   3 NNS	judges
   3 NNS	investors
   3 NNS	indexes
   3 NNS	holders
   3 NNS	gates
   3 NNS	directors
   3 NNS	conditioners
   3 NNS	chlorofluorocarbons
   3 NNS	airports
   3 NNS	agencies
   3 NNP	wood
   3 NNP	william
   3 NNP	west
   3 NNP	washington
   3 NNP	transportation
   3 NNP	t.c.c.
   3 NNP	store
   3 NNP	ronald
   3 NNP	president
   3 NNP	philadelphia
   3 NNP	park
   3 NNP	nfl
   3 NNP	montreal
   3 NNP	monday
   3 NNP	houston
   3 NNP	gundy
   3 NNP	griggy
   3 NNP	greyhound
   3 NNP	equity
   3 NNP	edelman
   3 NNP	eastern
   3 NNP	e.
   3 NNP	computer
   3 NNP	central
   3 NNP	buck
   3 NNP	bradford
   3 NNP	argentina
   3 NN	world
   3 NN	water
   3 NN	vote
   3 NN	violin
   3 NN	vice
   3 NN	union
   3 NN	turnaround
   3 NN	theater
   3 NN	system
   3 NN	state
   3 NN	spring
   3 NN	sound
   3 NN	skin
   3 NN	quarter
   3 NN	public
   3 NN	problem
   3 NN	point
   3 NN	piece
   3 NN	piano
   3 NN	percentage
   3 NN	pay
   3 NN	ozone
   3 NN	order
   3 NN	office
   3 NN	offer
   3 NN	news
   3 NN	net
   3 NN	mining
   3 NN	matter
   3 NN	line
   3 NN	life
   3 NN	level
   3 NN	length
   3 NN	leader
   3 NN	layer
   3 NN	judge
   3 NN	jazz
   3 NN	investor
   3 NN	investment
   3 NN	income
   3 NN	game
   3 NN	form
   3 NN	filing
   3 NN	fiction
   3 NN	experience
   3 NN	example
   3 NN	effect
   3 NN	distance
   3 NN	department
   3 NN	decision
   3 NN	debt
   3 NN	concert
   3 NN	complaint
   3 NN	buying
   3 NN	business
   3 NN	bandoneon
   3 NN	audience
   3 MD	'll
   3 JJS	biggest
   3 JJS	best
   3 JJ	willing
   3 JJ	wide
   3 JJ	similar
   3 JJ	significant
   3 JJ	previous
   3 JJ	outstanding
   3 JJ	net
   3 JJ	napap
   3 JJ	much
   3 JJ	long
   3 JJ	large
   3 JJ	international
   3 JJ	fourth
   3 IN	until
   3 IN	out
   3 IN	despite
   3 IN	along
   3 IN	across
   3 IN	above
   3 CD	five
   3 CD	7
   3 CD	50
   3 CD	3
   3 CD	25
   3 CD	2
   3 CC	&amp;
   3 AUX	did
   2 WP	whom
   2 VBZ	writes
   2 VBZ	seems
   2 VBZ	puts
   2 VBZ	provides
   2 VBZ	exceeds
   2 VBZ	continues
   2 VBZ	comes
   2 VBZ	announces
   2 VBZ	acquires
   2 VBP	write
   2 VBP	want
   2 VBP	try
   2 VBP	think
   2 VBP	reject
   2 VBP	live
   2 VBN	written
   2 VBN	thrown
   2 VBN	prolonged
   2 VBN	produced
   2 VBN	planned
   2 VBN	heard
   2 VBN	ended
   2 VBN	designed
   2 VBN	created
   2 VBN	approved
   2 VBN	announced
   2 VBN	adopted
   2 VBG	totaling
   2 VBG	taking
   2 VBG	succeeding
   2 VBG	spending
   2 VBG	playing
   2 VBG	paying
   2 VBG	operating
   2 VBG	making
   2 VBG	involving
   2 VBG	going
   2 VBG	expecting
   2 VBG	doing
   2 VBG	denying
   2 VBG	buying
   2 VBG	beginning
   2 VBG	admitting
   2 VBD	tended
   2 VBD	studied
   2 VBD	started
   2 VBD	sought
   2 VBD	showed
   2 VBD	resigned
   2 VBD	made
   2 VBD	found
   2 VBD	convinced
   2 VBD	cited
   2 VBD	came
   2 VBD	began
   2 VBD	added
   2 VB	write
   2 VB	succeed
   2 VB	stock
   2 VB	save
   2 VB	reflect
   2 VB	receive
   2 VB	realize
   2 VB	protect
   2 VB	pay
   2 VB	lose
   2 VB	look
   2 VB	increase
   2 VB	help
   2 VB	entitle
   2 VB	end
   2 VB	cut
   2 VB	convert
   2 VB	consider
   2 VB	close
   2 VB	become
   2 VB	acquire
   2 RBR	less
   2 RB	usually
   2 RB	unusually
   2 RB	though
   2 RB	then
   2 RB	strongly
   2 RB	soon
   2 RB	somewhat
   2 RB	newly
   2 RB	much
   2 RB	mostly
   2 RB	maybe
   2 RB	hard
   2 RB	formally
   2 RB	finally
   2 RB	ever
   2 RB	especially
   2 RB	either
   2 RB	down
   2 RB	damned
   2 RB	away
   2 RB	again
   2 PRP	our
   2 PRP	myself
   2 NNS	writers
   2 NNS	waves
   2 NNS	violations
   2 NNS	things
   2 NNS	supporters
   2 NNS	streams
   2 NNS	strategies
   2 NNS	statements
   2 NNS	slots
   2 NNS	signs
   2 NNS	shareholders
   2 NNS	sanctions
   2 NNS	sales
   2 NNS	results
   2 NNS	relations
   2 NNS	programs
   2 NNS	profits
   2 NNS	products
   2 NNS	problems
   2 NNS	populations
   2 NNS	pollutants
   2 NNS	pieces
   2 NNS	parties
   2 NNS	options
   2 NNS	months
   2 NNS	men
   2 NNS	markets
   2 NNS	loans
   2 NNS	lists
   2 NNS	interests
   2 NNS	increases
   2 NNS	forms
   2 NNS	forests
   2 NNS	foes
   2 NNS	fixes
   2 NNS	fathers
   2 NNS	farmers
   2 NNS	fans
   2 NNS	exchanges
   2 NNS	disparities
   2 NNS	devices
   2 NNS	declines
   2 NNS	crops
   2 NNS	corporations
   2 NNS	concessions
   2 NNS	commitments
   2 NNS	cities
   2 NNS	changes
   2 NNS	carry-forwards
   2 NNS	bookies
   2 NNS	banks
   2 NNS	alternatives
   2 NNS	affairs
   2 NNPS	relations
   2 NNPS	mountains
   2 NNPS	foods
   2 NNPS	airlines
   2 NNP	women
   2 NNP	warsaw
   2 NNP	vice
   2 NNP	united
   2 NNP	tuolumne
   2 NNP	toronto
   2 NNP	theater
   2 NNP	suarez
   2 NNP	state
   2 NNP	sports
   2 NNP	sen.
   2 NNP	sec
   2 NNP	roxborough
   2 NNP	reuber
   2 NNP	repertory
   2 NNP	phoenix
   2 NNP	peroni
   2 NNP	paz
   2 NNP	nov.
   2 NNP	north
   2 NNP	michael
   2 NNP	meredith
   2 NNP	march
